"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3911.78902483107,10411.548553193,0.375716350439666,0.708498468643639
"Coronary.artery.disease.",-4790.94789289857,4582.88859335374,-1.04539916153462,0.300175926459807
"Valve.disease.",-3112.3364625631,3446.22452604822,-0.903114825815489,0.370200573553883
"Heart.failure.",-4734.12543343551,6675.47682502718,-0.709181614665591,0.481052911624282
"Sex.assigned.at.birth",6555.7488686426,3183.90547856453,2.05902747829005,0.0439914295921677
"Age.at.enrollment",-3.10785459219731,136.003847669495,-0.0228512255017207,0.981847383003052
"BMI",212.742921121729,246.926611243463,0.861563361074803,0.392475883048704
"Smoking",-716.344004233272,3339.11394065495,-0.2145311651428,0.83088535825999
"Diabetes",2447.85689843775,4363.28533459764,0.561012336055138,0.576950223792992
"History.of.cancer",-3080.87217817444,5746.11358623416,-0.536166250795184,0.593894111094088
"Hypertension",-5533.38847229313,4023.6723152969,-1.37520852561892,0.174355644671153
"Peripheral.vascular.disease",5812.18243698208,7279.42407739804,0.798439873152657,0.427872578169178
"Hyperlipidemia",3943.12667698147,4040.61538614771,0.975872806528319,0.333180270258414
"Stroke",31655.7477536164,7013.3415305916,4.51364697063971,3.16839015565787e-05
"Hypothyroidism",-2169.68771667422,7144.74790514737,-0.303675895284015,0.762461555371683
"Autoimmune.disease",-4726.27753800879,6479.85953228392,-0.729379628441258,0.46870484825512
"History.of.thrombosis.pulmonary.embolism",-2904.78260108333,7989.11668002988,-0.363592461772941,0.717484331511031
