"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",783.070955963502,703.11286522869,1.11372013611045,0.269993499576085
"Coronary.artery.disease.",-183.454485986597,309.491706582746,-0.592760588037108,0.555645595984854
"Valve.disease.",-121.487782767541,232.730490411826,-0.522010599266832,0.603650950057368
"Heart.failure.",-501.690627734051,450.808408877192,-1.11286883264575,0.27035595856805
"Sex.assigned.at.birth",-57.9543829308721,215.01555625597,-0.269535767272016,0.788474047403166
"Age.at.enrollment",-0.159926259416888,9.18461403973365,-0.0174124093538421,0.98616737064625
"BMI",-2.19098609849117,16.6754519028158,-0.131389908427082,0.895921577390116
"Smoking",-389.379891237601,225.497096627278,-1.72676232670615,0.0895333968056792
"Diabetes",-133.562566544311,294.661455761872,-0.453274644282788,0.652042287803157
"History.of.cancer",-621.730846636544,388.046635609029,-1.60220651226818,0.114542792954495
"Hypertension",18.5768016239637,271.726703851574,0.0683657563303419,0.945729628309075
"Peripheral.vascular.disease",126.386015440934,491.594184488951,0.25709420377363,0.798015933404948
"Hyperlipidemia",359.282784211516,272.870903586207,1.3166767855775,0.193126133272466
"Stroke",-129.004943337159,473.625093635983,-0.272377762645129,0.786298921559997
"Hypothyroidism",52.4807701364306,482.499231047068,0.1087686088588,0.913761453407921
"Autoimmune.disease",561.658540067247,437.597978700904,1.28350350642533,0.204420186698204
"History.of.thrombosis.pulmonary.embolism",-75.7651898352499,539.521156804232,-0.140430433319859,0.888806480657707
