"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",443.805757706983,647.435827876845,0.685482234065372,0.495770436154012
"Coronary.artery.disease.",-745.579905551189,284.984145763347,-2.61621538122448,0.0113166273461711
"Valve.disease.",-307.072731024605,214.301380594076,-1.43290131950319,0.15725439071698
"Heart.failure.",-418.044158045804,415.1104749311,-1.00706723460831,0.318085509424142
"Sex.assigned.at.birth",-104.755675426712,197.989229831125,-0.529097847979223,0.59875678860305
"Age.at.enrollment",0.647832645516389,8.45731672483355,0.0766002582845375,0.939205179490612
"BMI",23.4079595480617,15.354981457221,1.52445378154811,0.132829968166178
"Smoking",-151.1572968142,207.640773848195,-0.727975021537489,0.469557692774999
"Diabetes",167.852509548769,271.328250397657,0.618632631518338,0.538580504697479
"History.of.cancer",-513.746851294296,357.318585969324,-1.43778373548808,0.155869174174951
"Hypertension",-26.9827275302532,250.209620907974,-0.107840487637274,0.914494416520602
"Peripheral.vascular.disease",458.998258962312,452.666568276383,1.01398753769256,0.314800099246088
"Hyperlipidemia",404.785190051231,251.263215485863,1.61100059659949,0.112608933588339
"Stroke",953.468561832761,436.120386592164,2.18625084069824,0.0328461467044914
"Hypothyroidism",63.9632992359762,444.291812241687,0.143966864735246,0.886025695297498
"Autoimmune.disease",111.494990615986,402.946132304525,0.276699493250686,0.782994560540271
"History.of.thrombosis.pulmonary.embolism",-112.993606724014,496.798372049426,-0.227443592976936,0.820878668870924
