"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-549.940953437223,1758.05704111463,-0.312811780605568,0.755545685466431
"Coronary.artery.disease.",-809.045288487168,773.850260508897,-1.04548041110063,0.300138711805959
"Valve.disease.",-245.947553962304,581.917210713378,-0.422650420771702,0.674113187959731
"Heart.failure.",-716.319804988427,1127.19726321954,-0.6354875303214,0.527609939327703
"Sex.assigned.at.birth",469.722393276166,537.62294976929,0.873702273085139,0.385883638570806
"Age.at.enrollment",52.154353005036,22.9651257728332,2.2710240527719,0.0268741589679883
"BMI",-4.0217543790369,41.6951489317129,-0.0964561701320125,0.923490805038402
"Smoking",-591.672268512106,563.830898397158,-1.04937893647563,0.298356782526933
"Diabetes",1422.55043799756,736.768835653084,1.93079615906472,0.0584012786457846
"History.of.cancer",338.819215654751,970.268293684833,0.349201574306836,0.728202629219278
"Hypertension",-556.812778426898,679.422989664328,-0.819537735545266,0.415834738952409
"Peripheral.vascular.disease",1463.45969209342,1229.17764721984,1.19060063889339,0.238660548723444
"Hyperlipidemia",-157.257664422019,682.283936319399,-0.230487127207406,0.818524317893708
"Stroke",210.005107554292,1184.24789517183,0.17733205050267,0.859865422420835
"Hypothyroidism",-1619.45258914563,1206.43670799395,-1.34234359615802,0.184715390643775
"Autoimmune.disease",-117.376164042965,1094.16602323501,-0.107274546595708,0.914941392544802
"History.of.thrombosis.pulmonary.embolism",-319.151600484474,1349.01381478987,-0.236581417466202,0.813815094117002
