"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",7.55442431807712,10.1010144600739,0.747887684740712,0.45754968672839
"Coronary.artery.disease.",3.23287530376535,4.44619969007176,0.727109785686027,0.470083481585904
"Valve.disease.",4.06806567108008,3.34343768291785,1.21673141744632,0.228634529725548
"Heart.failure.",-2.85920495700351,6.47637453669738,-0.441482335649717,0.660505404068089
"Sex.assigned.at.birth",5.43558714662557,3.08894254434666,1.75969189086204,0.0837333239498141
"Age.at.enrollment",-0.0085365793591413,0.131947406758618,-0.0646968331462395,0.948637858974254
"BMI",-0.0864055128095703,0.239561796019511,-0.360681520364512,0.719647876110992
"Smoking",-2.6271349217224,3.23952177008733,-0.810963811381203,0.42070184137644
"Diabetes",-0.405080747693513,4.23314630220714,-0.0956925933512635,0.924094589832926
"History.of.cancer",-1.58106736524142,5.57473041855796,-0.283613241633736,0.777716729728452
"Hypertension",-4.8734036752508,3.9036625562245,-1.2484182751606,0.216893926129652
"Peripheral.vascular.disease",0.59930351279095,7.06230850205828,0.084859435497088,0.932665383539567
"Hyperlipidemia",0.9645373998196,3.92010028427117,0.24604916453022,0.806512846131484
"Stroke",-1.21281125464444,6.80416211402257,-0.178245496553496,0.859151302957894
"Hypothyroidism",0.760996290267302,6.9316491715676,0.109785748157707,0.912958276691413
"Autoimmune.disease",-3.34733744248348,6.28659171116042,-0.532456630918314,0.596443817587627
"History.of.thrombosis.pulmonary.embolism",-5.53237354084429,7.7508338645216,-0.713777851202306,0.478227123146768
