"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1386.58673015947,658.815690679026,2.10466561403592,0.0396639738551728
"Coronary.artery.disease.",319.47328445898,289.993260705625,1.10165761673779,0.275161303420298
"Valve.disease.",-2.12350293794767,218.068117318356,-0.00973779644663775,0.992263903021563
"Heart.failure.",-302.446579686608,422.406796897024,-0.716007843406791,0.476859473896099
"Sex.assigned.at.birth",481.780881504704,201.469250822821,2.39133703797012,0.0200515320777318
"Age.at.enrollment",-0.0395273468682891,8.60596945589852,-0.00459301500787888,0.996351078617355
"BMI",-22.3920274026748,15.6248731975132,-1.43310138390362,0.157197441888742
"Smoking",-192.98910176109,211.290438288731,-0.913383034860141,0.364822464659973
"Diabetes",-40.3791108931424,276.097338129497,-0.146249547955451,0.884231525997549
"History.of.cancer",-373.594249510545,363.599110323892,-1.02748944896413,0.308456169149356
"Hypertension",-336.060414698237,254.607510297345,-1.31991556064378,0.192049171376125
"Peripheral.vascular.disease",28.9624341985061,460.623006922994,0.0628766556668066,0.950080914865162
"Hyperlipidemia",-29.7825607757274,255.679623717147,-0.116483904124777,0.907671442932088
"Stroke",324.127942529912,443.785995986887,0.730369920324142,0.468104095181277
"Hypothyroidism",-154.472925444326,452.101049311595,-0.341677874182196,0.733828207954323
"Autoimmune.disease",-211.704769186112,410.028643813553,-0.516317024140337,0.607596010897573
"History.of.thrombosis.pulmonary.embolism",-345.772817811526,505.530507453191,-0.683980121305622,0.496711503599055
