"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",256.738252298127,692.240512657686,0.370880131404682,0.712078024785164
"Coronary.artery.disease.",477.728400305247,304.705984235488,1.56783399414972,0.12235999984513
"Valve.disease.",196.587291416298,229.131739669358,0.857966214981727,0.394442755529666
"Heart.failure.",80.9068566339562,443.837482578337,0.182289373497598,0.855991283984219
"Sex.assigned.at.birth",296.950722989666,211.69073452183,1.40275729904014,0.166019631089444
"Age.at.enrollment",8.17200791901028,9.04259080703956,0.903724175227355,0.36988001508868
"BMI",-6.98922686216608,16.4175965835147,-0.425715592816071,0.671890701019193
"Smoking",-12.0112520671551,222.010197070303,-0.0541022539759807,0.957039623387451
"Diabetes",-92.337790740161,290.105056079033,-0.318290870170169,0.751407592496075
"History.of.cancer",-434.905144530139,382.046205173211,-1.13835745164113,0.259651592892529
"Hypertension",-595.069168210663,267.52494809751,-2.22435018656192,0.0300311605577722
"Peripheral.vascular.disease",83.1773630375786,483.992580877445,0.171856690213689,0.864148428234865
"Hyperlipidemia",199.011851351557,268.651454879074,0.740780843495288,0.461814933212168
"Stroke",-371.101059140729,466.301349100586,-0.795839557094393,0.429370524834391
"Hypothyroidism",-146.55682539605,475.038264231341,-0.308515832157633,0.758795256399391
"Autoimmune.disease",-533.993574212514,430.831327507219,-1.23944926962993,0.220171048207765
"History.of.thrombosis.pulmonary.embolism",-472.013137614813,531.178450353563,-0.88861499803057,0.377880627633721
