"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6347.05131995242,3341.70774662379,1.8993436294257,0.062496090968723
"Coronary.artery.disease.",1389.53460709992,1470.93146001104,0.944663055265334,0.348749709203346
"Valve.disease.",-314.736636272195,1106.10589159366,-0.284544760735998,0.777006422514792
"Heart.failure.",-940.534440730196,2142.57202035134,-0.438974481042632,0.662311051194168
"Sex.assigned.at.birth",2377.90630432929,1021.9115386994,2.32691990869941,0.0234828986043502
"Age.at.enrollment",7.7103315221976,43.6520186219957,0.176631728969172,0.860413003774793
"BMI",-80.8532848677509,79.2539712439587,-1.02017960234282,0.311879885091015
"Smoking",-941.36274118007,1071.72750195014,-0.878360161017746,0.383372618419707
"Diabetes",181.168732121833,1400.44723691782,0.129364910969841,0.897516495487969
"History.of.cancer",-1262.45711792485,1844.28206678343,-0.68452496538486,0.496370048151231
"Hypertension",-1574.07685457527,1291.44448371032,-1.2188498030151,0.22783541972895
"Peripheral.vascular.disease",243.503846747915,2336.41592373312,0.104221103902958,0.917353451392721
"Hyperlipidemia",73.9957014207809,1296.88255959543,0.0570565938089754,0.954696224850001
"Stroke",320.361593790181,2251.01363190673,0.142318815510156,0.88732142105836
"Hypothyroidism",-423.048792956897,2293.19003799707,-0.184480477390525,0.854280068675565
"Autoimmune.disease",-1435.7046947569,2079.7863723573,-0.690313540774685,0.492750274340824
"History.of.thrombosis.pulmonary.embolism",-2335.25325956219,2564.20002864508,-0.91071415391729,0.366215486946412
