"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",403.832779959821,947.825595518768,0.426062328205849,0.671639475743039
"Coronary.artery.disease.",-181.18591036323,417.207784989825,-0.434282189551302,0.665694894722704
"Valve.disease.",189.961147510615,313.730450086725,0.605491585079179,0.547214505154726
"Heart.failure.",-808.002228146614,607.708619397706,-1.32958823086534,0.188859776714947
"Sex.assigned.at.birth",1.17293731137876,289.849976771265,0.0040467048658913,0.99678509220953
"Age.at.enrollment",18.8467199665216,12.3812444663335,1.52219916323992,0.133393017746449
"BMI",10.8201638546585,22.4792076947564,0.481340979699318,0.63208525871786
"Smoking",-602.953690067838,303.979532260423,-1.98353384382235,0.0520484346184194
"Diabetes",-58.8771239735807,397.215985648456,-0.14822445747611,0.882679755172628
"History.of.cancer",-539.078638957595,523.103119960056,-1.03053990386974,0.307034996172267
"Hypertension",-62.4570449705624,366.298979343382,-0.170508378381292,0.865203755765707
"Peripheral.vascular.disease",459.068477261935,662.689553426466,0.692735346269307,0.491240162909204
"Hyperlipidemia",-217.599691980506,367.841408515857,-0.591558445957631,0.55644506392786
"Stroke",598.763048643583,638.466466236749,0.937814404212666,0.352228741954847
"Hypothyroidism",15.5771228460473,650.429175201891,0.0239489915888417,0.980975502368718
"Autoimmune.disease",183.169170263193,589.900406139047,0.310508635622159,0.757287298684993
"History.of.thrombosis.pulmonary.embolism",-168.335145862317,727.297119754195,-0.23145306270319,0.817777460303256
