"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-7318.40867931801,8693.99720248194,-0.841777206602824,0.403370192912553
"Coronary.artery.disease.",-6863.46071888634,3826.86786757427,-1.79349299646368,0.0781078861811029
"Valve.disease.",-4558.75140270397,2877.71470646403,-1.58415682849447,0.118595976761605
"Heart.failure.",-9737.282002062,5574.25022277023,-1.74683259863115,0.0859600628414076
"Sex.assigned.at.birth",2643.34904600835,2658.66937873692,0.994237593868911,0.324237148300252
"Age.at.enrollment",155.817857810757,113.567839128287,1.37202450100987,0.175339425009946
"BMI",520.511845324558,206.192119875447,2.52440222079768,0.0143482995917652
"Smoking",-2503.29260332797,2788.2737241733,-0.897792989843627,0.373007736239785
"Diabetes",-722.438999489769,3643.49167646043,-0.198282050198507,0.843517760429312
"History.of.cancer",-3587.57217522935,4798.20030503939,-0.747691206526214,0.457667299455232
"Hypertension",-4230.86076357685,3359.90325302445,-1.25922100875029,0.212994767413419
"Peripheral.vascular.disease",7882.55214180668,6078.56672244679,1.29677808959441,0.19984295566721
"Hyperlipidemia",-156.218041698783,3374.05129352254,-0.0462998419729684,0.963230316723957
"Stroke",25458.2045351851,5856.37874476551,4.34708983908185,5.63825608863092e-05
"Hypothyroidism",-6122.48532394747,5966.10753745561,-1.02621102377222,0.309053098554141
"Autoimmune.disease",-4802.27738557925,5410.90312918679,-0.887518639850606,0.378465398629917
"History.of.thrombosis.pulmonary.embolism",-5087.25828985558,6671.18418663862,-0.762572003340065,0.448808997039614
