"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",7768.22644647973,1963.88236391543,3.95554570335469,0.000210416336718542
"Coronary.artery.disease.",-624.822236255428,864.449129569338,-0.722798155360178,0.472708553480301
"Valve.disease.",163.088090141977,650.04543120757,0.25088721851181,0.802787996710236
"Heart.failure.",-1136.35189887037,1259.16439234935,-0.90246508380861,0.370542576218348
"Sex.assigned.at.birth",294.503924448478,600.56539964067,0.490377775051119,0.625716659486051
"Age.at.enrollment",-86.805870042322,25.6537782538458,-3.38374601913887,0.00128708330447477
"BMI",-10.3821086264739,46.5766273407732,-0.222903830080143,0.824393512522403
"Smoking",-553.75355762411,629.841655701189,-0.879194877969174,0.38292371812397
"Diabetes",-497.273537217847,823.026380136239,-0.604201213010367,0.548066086786978
"History.of.cancer",-815.00689802037,1083.86289276818,-0.751946490149551,0.455123965576662
"Hypertension",-83.7253376731408,758.966743305726,-0.110314896418873,0.912540474596085
"Peripheral.vascular.disease",1753.56348548249,1373.08417590571,1.27709831360179,0.206656562032746
"Hyperlipidemia",379.716012842041,762.162636583702,0.498208642900773,0.620220982418629
"Stroke",1680.88457335766,1322.89425282663,1.27061144136511,0.208939978621753
"Hypothyroidism",-258.252347608972,1347.68083094013,-0.191627232264495,0.848703501900547
"Autoimmune.disease",1712.13983019996,1222.26600501219,1.4007914997054,0.166604088853861
"History.of.thrombosis.pulmonary.embolism",-386.390747753832,1506.95021696475,-0.256405781295209,0.798544829340577
