"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-936.155833722111,3645.1242780211,-0.256824119651235,0.798223420236851
"Coronary.artery.disease.",-2488.03562263802,1604.4874006736,-1.55067320665372,0.126419921248765
"Valve.disease.",-1145.14970142204,1206.53682045767,-0.94912122200105,0.346497090743754
"Heart.failure.",532.324895752744,2337.11080709616,0.227770499428803,0.820625707891871
"Sex.assigned.at.birth",114.601479083702,1114.69788567434,0.102809452279865,0.918468847101838
"Age.at.enrollment",89.4192781319031,47.6154843356441,1.87794536545259,0.0654191088445378
"BMI",19.4217780224805,86.449982049691,0.224659133084804,0.823034062677221
"Smoking",-615.804327992229,1169.03698138423,-0.526762059539872,0.600367747625674
"Diabetes",3259.32091925601,1527.6034322673,2.13361717472607,0.0371151014579286
"History.of.cancer",-782.98127607805,2011.737065859,-0.389206566487218,0.698548683487582
"Hypertension",-597.254928101964,1408.70357261044,-0.423974879963712,0.673152493051627
"Peripheral.vascular.disease",1624.43130524786,2548.55512597089,0.637393042314129,0.526377068764426
"Hyperlipidemia",352.741295313511,1414.63540864684,0.249351382806771,0.803969953187538
"Stroke",-754.719227000393,2455.39857520743,-0.307371371239244,0.759661698008278
"Hypothyroidism",-2551.24928595034,2501.4044660442,-1.01992673339428,0.311998779622959
"Autoimmune.disease",-156.1118835957,2268.62442014457,-0.0688134546245216,0.945374803086905
"History.of.thrombosis.pulmonary.embolism",678.15131616915,2797.02130970606,0.2424548264312,0.809283074152569
