"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-7.19146902175525,9.13800155788064,-0.78698487587292,0.434494780908842
"Coronary.artery.disease.",6.99346663930752,4.02230685394216,1.73867059208906,0.0873987159141276
"Valve.disease.",9.82074561082642,3.0246802314702,3.24687069682499,0.001941139673712
"Heart.failure.",-4.38126811634653,5.85892841156532,-0.747793420328888,0.457606111648858
"Sex.assigned.at.birth",9.12353288047158,2.79444821052529,3.26487814163376,0.0018399833422731
"Age.at.enrollment",0.125874087817089,0.119367773730495,1.05450645415641,0.296024165308007
"BMI",-0.137447269660867,0.216722396932294,-0.634208884759646,0.528438072120089
"Smoking",-0.645666222409198,2.93067147847937,-0.220313408428915,0.826400733008525
"Diabetes",-7.95420171790429,3.82956560028749,-2.07705064963691,0.042235850411322
"History.of.cancer",-0.0423025921566266,5.04324545330614,-0.00838797011731697,0.993336231682169
"Hypertension",0.844078624353272,3.5314942534949,0.239014582430069,0.811936838036193
"Peripheral.vascular.disease",-6.35650152305785,6.38900046615418,-0.994913297742191,0.32391118721869
"Hyperlipidemia",1.91209026355176,3.54636483754289,0.539169079083403,0.59183395306819
"Stroke",-2.2506670699373,6.15546529942853,-0.365637195639175,0.715965979827895
"Hypothyroidism",-5.00413984195527,6.27079796577218,-0.798006867589946,0.428121799947673
"Autoimmune.disease",-0.414898963556964,5.68723914587121,-0.072952614250127,0.942094830165973
"History.of.thrombosis.pulmonary.embolism",-5.38913793386607,7.01188303499906,-0.768572137750554,0.445265645540323
