"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-16.0598997539306,114.918064678371,-0.139750872057222,0.889340998811141
"Coronary.artery.disease.",-69.5775845011773,50.5838958627606,-1.37548884510494,0.174269236221674
"Valve.disease.",12.9062881340094,38.0379009863178,0.339300744766433,0.735608691325518
"Heart.failure.",-61.834744322059,73.6809585642447,-0.839222853868594,0.404790052154388
"Sex.assigned.at.birth",-20.8177119263541,35.1425394451324,-0.592379271818319,0.555899122735343
"Age.at.enrollment",2.05697117374849,1.50115027396161,1.37026333034603,0.175885402854317
"BMI",0.351921679952624,2.72546664280642,0.129123458869505,0.897706695234548
"Smoking",-65.5565040418602,36.8556617529247,-1.77873631686068,0.0805237615567894
"Diabetes",23.7430855735035,48.1600122911305,0.493004142731007,0.623871083333245
"History.of.cancer",-61.8905042742563,63.4230584795774,-0.975836009141461,0.333198352011304
"Hypertension",-59.3609099097046,44.4115141000856,-1.33661081169016,0.186569426035825
"Peripheral.vascular.disease",88.4282140531642,80.3470610230373,1.1005780787403,0.27562715251294
"Hyperlipidemia",64.5260414152256,44.5985242169704,1.44682010331348,0.15333050162897
"Stroke",125.818428286508,77.4101596420885,1.6253477433484,0.109510693209311
"Hypothyroidism",-25.4475418378275,78.8605650427068,-0.322690331017111,0.748090185645632
"Autoimmune.disease",93.8064423866725,71.5218214690444,1.31157792768565,0.194830827311889
"History.of.thrombosis.pulmonary.embolism",342.169644592934,88.180333854099,3.88033963626266,0.000269173853025531
