"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",140.634614574162,414.653173094592,0.339162036370284,0.735712629822091
"Coronary.artery.disease.",-358.570892046256,182.519371394599,-1.96456348335235,0.0542618417564963
"Valve.disease.",-378.364143444981,137.250278152337,-2.75674591365875,0.00779176981751078
"Heart.failure.",172.92706359003,265.859361196374,0.650445644689183,0.517972783372459
"Sex.assigned.at.birth",156.552261993567,126.80308820297,1.2346092213699,0.221954590688953
"Age.at.enrollment",8.93966200078057,5.41652634102491,1.65044189540284,0.104258133278217
"BMI",-3.98450224668955,9.83416658439304,-0.405169285317274,0.686843693153856
"Smoking",-109.461350330635,132.984462757208,-0.823113828947675,0.413814843171075
"Diabetes",283.755893130389,173.773392100558,1.63290760282902,0.107906178552528
"History.of.cancer",-119.717573205099,228.846287304997,-0.523135308922639,0.602873041307599
"Hypertension",-13.0686166495944,160.247871342736,-0.0815525132414606,0.93528334223605
"Peripheral.vascular.disease",118.098108116752,289.912329234499,0.40735800518931,0.685244680278105
"Hyperlipidemia",37.69100622204,160.922650704746,0.23421815423109,0.815640442585772
"Stroke",64.4365210831364,279.31525313437,0.230694601744997,0.818363885108495
"Hypothyroidism",-217.143634704203,284.548679256913,-0.763115946527197,0.448487098569433
"Autoimmune.disease",135.578431261043,258.068653528466,0.525357998374989,0.6013370746864
"History.of.thrombosis.pulmonary.embolism",-38.3575176467201,318.176740440919,-0.120554122194996,0.904460865532189
