"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1626.12817377419,14822.4530229449,0.109707089053139,0.91302038604301
"Coronary.artery.disease.",-11823.1939413285,6524.45220202554,-1.81213588133238,0.0751426337802524
"Valve.disease.",-3050.38909920438,4906.23473375675,-0.621737292391771,0.536550946543507
"Heart.failure.",-13308.4018306187,9503.57587434751,-1.40035729777686,0.166733396476686
"Sex.assigned.at.birth",4336.26465270852,4532.78291355099,0.956645119655971,0.342717031647843
"Age.at.enrollment",188.383179679557,193.622556022429,0.972940258353655,0.334623323586688
"BMI",696.202892671359,351.53830158615,1.9804467664834,0.0524032601006475
"Smoking",-5326.15232211357,4753.74621467234,-1.12041158311618,0.267156392557811
"Diabetes",976.350891988349,6211.81292747693,0.157176480262247,0.875651648315762
"History.of.cancer",-12185.039884482,8180.48326445551,-1.48952567844328,0.141767045374622
"Hypertension",-5934.41824892774,5728.321158808,-1.03597861998412,0.304512212574088
"Peripheral.vascular.disease",10501.6936229259,10363.3883922326,1.01334556087823,0.315103910973786
"Hyperlipidemia",273.379562895564,5752.44224612441,0.0475240865007812,0.962258800123052
"Stroke",42501.2561321376,9984.57864744641,4.25669000494152,7.67937706448118e-05
"Hypothyroidism",-9131.72727380502,10171.6559879417,-0.897762103302602,0.373024067658995
"Autoimmune.disease",-1361.0527754706,9225.08433993755,-0.14753824738255,0.883218887723394
"History.of.thrombosis.pulmonary.embolism",-7882.88501138808,11373.7458053972,-0.693077298039085,0.491027145295271
