"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",979.285970228062,1052.71458167586,0.930248319225419,0.356098337700963
"Coronary.artery.disease.",-45.8036173384206,463.37714546218,-0.0988473812033509,0.921600291517434
"Valve.disease.",-102.66966429804,348.448724199374,-0.294647841038715,0.769314969206474
"Heart.failure.",-567.446980848952,674.959325929498,-0.840712853426406,0.403961450583972
"Sex.assigned.at.birth",234.654561624872,321.925572054758,0.728909356678748,0.468990288305497
"Age.at.enrollment",1.70068078681866,13.7513870174281,0.123673399975091,0.902001468664373
"BMI",-1.17424777477276,24.966818617974,-0.0470323349057938,0.962649029746768
"Smoking",-585.486099918981,337.618742999244,-1.73416349672356,0.0882016521169911
"Diabetes",-323.334157788528,441.172998644348,-0.732896525358715,0.466573333480816
"History.of.cancer",-931.2217690844,580.991149327097,-1.60281575745679,0.11440795819206
"Hypertension",-23.9708180825098,406.834631424688,-0.0589202988904036,0.953218129126316
"Peripheral.vascular.disease",91.0655785387474,736.024601271166,0.123726269993518,0.901959791505672
"Hyperlipidemia",296.393448756664,408.547750049827,0.725480555750253,0.471074441573509
"Stroke",-263.390665439351,709.120920659055,-0.371432653819544,0.71166874070444
"Hypothyroidism",7.2442204100879,722.407455886094,0.0100278871031339,0.992033451086056
"Autoimmune.disease",976.903950652376,655.180406833392,1.49104573406572,0.141368480564397
"History.of.thrombosis.pulmonary.embolism",-374.842687999768,807.781818507492,-0.464039520835404,0.644356443209094
