"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",10892.4914337704,9561.31284909277,1.13922550236435,0.259292417075379
"Coronary.artery.disease.",-130.83776054346,4208.63730017909,-0.0310879154489963,0.975306159332026
"Valve.disease.",-814.03055568977,3164.79634834515,-0.257214198352896,0.797923754617706
"Heart.failure.",-9678.87039890144,6130.33901872157,-1.57884749429729,0.119809946723584
"Sex.assigned.at.birth",2997.98560992658,2923.89899609697,1.02533829449256,0.309461047836375
"Age.at.enrollment",201.289784397839,124.897399229781,1.61164112014466,0.112469117435087
"BMI",-261.441000636108,226.761904706385,-1.15293175445244,0.253667903838297
"Smoking",-3672.92265429728,3066.43270808911,-1.19778354979331,0.235873351014141
"Diabetes",4416.3364610914,4006.96744781084,1.10216429721789,0.274942847686507
"History.of.cancer",-7594.60052106989,5276.87013931832,-1.43922444944817,0.155462241803975
"Hypertension",-2637.00578241041,3695.08816217244,-0.713651655028455,0.478304584689541
"Peripheral.vascular.disease",4473.49129581979,6684.96627659445,0.669186815718499,0.506031419553839
"Hyperlipidemia",-167.95848468332,3710.64761523567,-0.0452639275132712,0.964052425142295
"Stroke",1857.31700086062,6440.61276273416,0.288375822189961,0.774087156576048
"Hypothyroidism",-6884.03192736154,6561.28813115546,-1.04918909058018,0.298443388613842
"Autoimmune.disease",1726.93103306951,5950.69637237986,0.290206544747445,0.772693301085964
"History.of.thrombosis.pulmonary.embolism",-4046.82125184999,7336.70342844866,-0.551585775725663,0.583351155355297
