"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",234.34443217046,6231.0093045609,0.0376093856895588,0.970128275306916
"Coronary.artery.disease.",-6333.36044141049,2742.72566862261,-2.3091483460652,0.0245173471706668
"Valve.disease.",-1468.67197703074,2062.46524978524,-0.712095380605159,0.479260432830028
"Heart.failure.",-4335.21576015743,3995.07892573469,-1.08513895238257,0.28234998651268
"Sex.assigned.at.birth",-913.733370962479,1905.47492147014,-0.479530515288809,0.633364562129142
"Age.at.enrollment",90.0257262552278,81.3943512778235,1.1060439065107,0.273274177161561
"BMI",119.59324954965,147.778402448101,0.809274207654599,0.421664999995148
"Smoking",-1552.9249350799,1998.36267649438,-0.777098648481623,0.440258605626141
"Diabetes",2262.40630259509,2611.29949876611,0.866390968812318,0.389845818291891
"History.of.cancer",-2883.43911436663,3438.88202969657,-0.838481544137485,0.405202689072735
"Hypertension",-3063.46523799702,2408.05097407245,-1.27217624169149,0.208387450571706
"Peripheral.vascular.disease",3733.19779356631,4356.5238087663,0.85692124212756,0.395015278019992
"Hyperlipidemia",5150.02090182564,2418.19090970065,2.12969988480486,0.0374513886990957
"Stroke",10614.1504667236,4197.28113545391,2.52881570811808,0.0141872064566138
"Hypothyroidism",-1624.93139345587,4275.92403265143,-0.380018770457032,0.705319547385734
"Autoimmune.disease",-2791.27545256134,3878.00765963159,-0.719770484627282,0.474556844018905
"History.of.thrombosis.pulmonary.embolism",12127.6260790281,4781.25421152861,2.53649472345265,0.0139108189196862
