"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6418.32997747913,3203.09343819607,2.00379105427965,0.0497708709380071
"Coronary.artery.disease.",38.5479072542019,1409.9171037197,0.0273405487120506,0.978281972160066
"Valve.disease.",601.089753328166,1060.22452947694,0.566945714437216,0.572938764476341
"Heart.failure.",-451.008147256189,2053.69795912991,-0.219607827553798,0.826947663501822
"Sex.assigned.at.birth",1501.7619084948,979.522565171051,1.53315703169386,0.13067418270752
"Age.at.enrollment",18.5362591008777,41.8413293482628,0.443013149668184,0.659404218019683
"BMI",-159.021978260335,75.96651008724,-2.09331688500254,0.040703941154499
"Smoking",-1412.06210512925,1027.2721582248,-1.37457449208921,0.174551206514435
"Diabetes",2269.68338112321,1342.35657191847,1.69082003143132,0.0962389305042956
"History.of.cancer",-2397.69439798861,1767.78109703492,-1.35632992230216,0.180250821053422
"Hypertension",-1521.94210249359,1237.87526175692,-1.22947937446742,0.22385648926736
"Peripheral.vascular.disease",801.311298213654,2239.50120167373,0.357807934023336,0.721785919348654
"Hyperlipidemia",2206.8440986983,1243.08776581315,1.7752922676821,0.081096476248192
"Stroke",-3917.61047455419,2157.6414038406,-1.81569118370683,0.0745879848134392
"Hypothyroidism",-1300.57833017898,2198.06832918473,-0.591691492439349,0.556356554893166
"Autoimmune.disease",364.705547000652,1993.51666490817,0.182945823037527,0.855478534641568
"History.of.thrombosis.pulmonary.embolism",565.120247121401,2457.83680343483,0.229925862584385,0.818958363205784
