"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",11842.7794156044,25456.4840673951,0.465216617670023,0.64351836784131
"Coronary.artery.disease.",-24118.2966361663,11205.2717099012,-2.15240622990471,0.0355385350922271
"Valve.disease.",-5456.27835586622,8426.10100618587,-0.647544855189914,0.519834365937248
"Heart.failure.",-24220.4076498204,16321.6997519984,-1.48393905155956,0.143239495051111
"Sex.assigned.at.birth",3574.58477703065,7784.72469038367,0.459179344061618,0.647821720271976
"Age.at.enrollment",282.917995043709,332.532645227031,0.850797655822788,0.398380635747142
"BMI",938.465830609572,603.741442766197,1.55441678197499,0.12552520297451
"Smoking",-9517.57269748961,8164.21307505032,-1.16576730788361,0.24848021468225
"Diabetes",4660.64742138262,10668.3365144198,0.43686730495266,0.663829770456654
"History.of.cancer",-19709.6354431651,14049.3845089502,-1.40288248432585,0.165982465526835
"Hypertension",-12296.0089355195,9837.97459748305,-1.24985166547038,0.216373543944137
"Peripheral.vascular.disease",18561.0752628046,17798.3651614692,1.04285281790861,0.301343825125153
"Hyperlipidemia",7640.25982837807,9879.40080905598,0.773352552046943,0.44245434144703
"Stroke",68905.3921095004,17147.7870002299,4.01832563633877,0.00017102080190671
"Hypothyroidism",-14137.3004946339,17469.0787142475,-0.80927567651886,0.421664162093212
"Autoimmune.disease",-3633.62850052086,15843.4108144226,-0.229346353703907,0.819406577167336
"History.of.thrombosis.pulmonary.embolism",7258.53990147305,19533.5804696766,0.371592904472429,0.7115500500738
