,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),3911.789025,10411.54855,0.37571635,0.708498469
Coronary.artery.disease.,-4790.947893,4582.888593,-1.045399162,0.300175926
Valve.disease.,-3112.336463,3446.224526,-0.903114826,0.370200574
Heart.failure.,-4734.125433,6675.476825,-0.709181615,0.481052912
Sex.assigned.at.birth,6555.748869,3183.905479,2.059027478,0.04399143
Age.at.enrollment,-3.107854592,136.0038477,-0.022851226,0.981847383
BMI,212.7429211,246.9266112,0.861563361,0.392475883
Smoking,-716.3440042,3339.113941,-0.214531165,0.830885358
Diabetes,2447.856898,4363.285335,0.561012336,0.576950224
History.of.cancer,-3080.872178,5746.113586,-0.536166251,0.593894111
Hypertension,-5533.388472,4023.672315,-1.375208526,0.174355645
Peripheral.vascular.disease,5812.182437,7279.424077,0.798439873,0.427872578
Hyperlipidemia,3943.126677,4040.615386,0.975872807,0.33318027
Stroke,31655.74775,7013.341531,4.513646971,3.17E-05
Hypothyroidism,-2169.687717,7144.747905,-0.303675895,0.762461555
Autoimmune.disease,-4726.277538,6479.859532,-0.729379628,0.468704848
History.of.thrombosis.pulmonary.embolism,-2904.782601,7989.11668,-0.363592462,0.717484332
