"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",9493.35891576887,11513.7715489415,0.824522084307085,0.413021051800516
"Coronary.artery.disease.",-11014.2146026121,5068.05803464677,-2.17326134138868,0.0338575372059928
"Valve.disease.",-2078.04337392352,3811.06054460166,-0.54526642901726,0.58766112142208
"Heart.failure.",-9866.69283303455,7382.1790054511,-1.33655561938404,0.186587344052012
"Sex.assigned.at.birth",-946.667344900013,3520.97098009237,-0.26886542100247,0.788987345464737
"Age.at.enrollment",94.3744004323103,150.401952585946,0.627481218226744,0.532806501569579
"BMI",180.07991675781,273.067601489464,0.659470093762691,0.512204041279767
"Smoking",-4025.68851611493,3692.61065173599,-1.09020118712553,0.280133220107174
"Diabetes",3358.97965720544,4825.20638392423,0.696131810733794,0.489126608399537
"History.of.cancer",-6886.00810128426,6354.42833389845,-1.08365501024695,0.283002115676082
"Hypertension",-5960.25093972581,4449.64008854584,-1.33949057027523,0.185636329595305
"Peripheral.vascular.disease",7349.22319837179,8050.06338940054,0.9129397922566,0.365053579627025
"Hyperlipidemia",6976.41956259154,4468.37684476583,1.56128719778046,0.123896344500481
"Stroke",22346.0375986422,7755.81190111926,2.8811990135317,0.00554471961092642
"Hypothyroidism",-3980.54247938648,7901.12966715377,-0.503794096170098,0.616314358386306
"Autoimmune.disease",-2139.72611178174,7165.85260518881,-0.298600352208244,0.766312210258141
"History.of.thrombosis.pulmonary.embolism",15568.4041375571,8834.88789988806,1.76215072720441,0.0833130512246124
