"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",8850.75479202196,4366.33860118771,2.02704270108929,0.0472628278202415
"Coronary.artery.disease.",649.863033284259,1921.94689078854,0.338127466684384,0.736488021401414
"Valve.disease.",2552.6135809222,1445.25889684579,1.76619814380188,0.0826250716198941
"Heart.failure.",-202.025364314554,2799.52516127019,-0.0721641538034586,0.942719549890663
"Sex.assigned.at.birth",1374.88044427943,1335.24896153184,1.02968096878512,0.307434713713038
"Age.at.enrollment",-73.3734235109102,57.0365538762484,-1.28642806278422,0.203405103425122
"BMI",-41.5752833154081,103.554739126885,-0.40148122303187,0.689541332501183
"Smoking",-968.652690904497,1400.33944214517,-0.691727063990015,0.491868565047129
"Diabetes",-1108.82037316521,1829.85087060917,-0.605962152968278,0.546904120907116
"History.of.cancer",-2061.29464658725,2409.77386122729,-0.855389246166624,0.39585556334234
"Hypertension",-440.1715226532,1687.42580981608,-0.260853852117609,0.795129183836336
"Peripheral.vascular.disease",-590.296912594659,3052.80527494736,-0.193362124154754,0.847350936645708
"Hyperlipidemia",-554.580847528734,1694.53130271184,-0.327276838522376,0.744636825257957
"Stroke",4811.06029954766,2941.21702375806,1.63573794816421,0.107310396601199
"Hypothyroidism",-120.013054495023,2996.3255143667,-0.0400534100582822,0.968188101912538
"Autoimmune.disease",894.74407492726,2717.48824505154,0.329254073704481,0.743149706301993
"History.of.thrombosis.pulmonary.embolism",-1881.85592816751,3350.43229844124,-0.561675557223775,0.576501157345856
