"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.69362771050853,118.743247501233,0.0142629391241043,0.988669156392338
"Coronary.artery.disease.",-67.911622649197,52.2676402776117,-1.29930531182381,0.19898030888166
"Valve.disease.",5.34306202852165,39.3040372189269,0.135941811747234,0.892338015639018
"Heart.failure.",-132.933698430061,76.1335158524379,-1.74606015421268,0.0860953692366711
"Sex.assigned.at.birth",21.0897955796223,36.3123001665083,0.580789305081642,0.563632494528851
"Age.at.enrollment",3.90961387237089,1.55111782482983,2.52051379320576,0.0144915975456927
"BMI",-1.2826216177466,2.81618700270394,-0.455446181846268,0.650488774704679
"Smoking",-18.8299921327278,38.0824457634028,-0.494453330274901,0.622853759104988
"Diabetes",-18.7906247548129,49.7630748929979,-0.377601761852882,0.707104752737808
"History.of.cancer",-138.075016031656,65.5341695094097,-2.10691639285718,0.0394604900307676
"Hypertension",-37.1560396291063,45.8898035348096,-0.809679640509283,0.421433762076284
"Peripheral.vascular.disease",-8.51942415480961,83.0215073648982,-0.102617073878999,0.91862086485591
"Hyperlipidemia",66.3724905136684,46.0830385031902,1.44028025645648,0.155164552838177
"Stroke",-29.9406412000307,79.9868477703362,-0.374319554209692,0.709531641597617
"Hypothyroidism",-122.010643911089,81.4855316190833,-1.49732893050814,0.139730367334285
"Autoimmune.disease",-59.1741832058743,73.9025093418252,-0.80070600758863,0.426569690350076
"History.of.thrombosis.pulmonary.embolism",13.7554218239752,91.1155198870088,0.150966836835625,0.880525717704744
