"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-46.2540173484865,864.566371071652,-0.0534996720855028,0.957517642103461
"Coronary.artery.disease.",-171.261686555467,380.559274150086,-0.450026311769568,0.654369030687572
"Valve.disease.",168.094223405377,286.171631161426,0.587389542154014,0.559221986076668
"Heart.failure.",-364.150028915356,554.32606824051,-0.656923875276527,0.513828184144353
"Sex.assigned.at.birth",121.214592317065,264.388874659139,0.458470850837956,0.64832752859124
"Age.at.enrollment",6.04298873920193,11.2936468989847,0.535078597131028,0.594641150057424
"BMI",8.73989193669159,20.5045813418705,0.42624093567054,0.671510081341529
"Smoking",-334.686447201491,277.277256838174,-1.20704615668072,0.232314146265937
"Diabetes",424.155114015087,362.323601374969,1.17065273254482,0.246525834041157
"History.of.cancer",111.442718396923,477.152514405979,0.233557856308609,0.816150630623913
"Hypertension",60.3595357727499,334.122417452575,0.180650960905122,0.857271311275237
"Peripheral.vascular.disease",30.6725663214172,604.47734800771,0.0507422923663072,0.959705225278469
"Hyperlipidemia",-194.22744815823,335.529356027126,-0.578868717950651,0.564919121339875
"Stroke",312.808883057014,582.382073637847,0.537119697217077,0.593239612988021
"Hypothyroidism",-386.459202800469,593.293950176187,-0.651378971057609,0.517374573988968
"Autoimmune.disease",72.1852070164344,538.082170222666,0.134152757722047,0.893746213447708
"History.of.thrombosis.pulmonary.embolism",-314.301307413606,663.409634103195,-0.473766570843491,0.637444940559506
