"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",57.6716707460042,415.648484428822,0.138751067083177,0.890127502787455
"Coronary.artery.disease.",-95.5057859399451,182.957481147166,-0.522010826456026,0.603650792874559
"Valve.disease.",-59.232577245955,137.579726390853,-0.430532744902254,0.668403838369517
"Heart.failure.",-389.414164495546,266.497515810109,-1.46122999800501,0.149349083477826
"Sex.assigned.at.birth",-131.765450560052,127.107459564612,-1.03664608679456,0.304203579255074
"Age.at.enrollment",8.22907582755635,5.42952788161157,1.51561535496044,0.135048053894043
"BMI",1.21822408389546,9.85777199271803,0.123580062999566,0.902075046389898
"Smoking",-214.756202605595,133.303671560245,-1.6110299145702,0.112602530870687
"Diabetes",-183.299117415251,174.190508471463,-1.05229107500585,0.297030447687156
"History.of.cancer",-272.15947184742,229.39559771266,-1.18641976812618,0.240293799225558
"Hypertension",-103.539756527154,160.632521775876,-0.644575303820599,0.52174373795053
"Peripheral.vascular.disease",205.794893279384,290.608219308285,0.708152349473198,0.481686984955843
"Hyperlipidemia",161.938173483879,161.308920842233,1.00390091656656,0.319596376278562
"Stroke",663.173259474998,279.985706552568,2.36859683889073,0.0212079295652286
"Hypothyroidism",-16.8584057579204,285.231694711711,-0.059104251282311,0.95307224621731
"Autoimmune.disease",391.51745906643,258.688107743537,1.5134729712994,0.135590103026336
"History.of.thrombosis.pulmonary.embolism",207.6584573618,318.940474898045,0.651088443472663,0.517560746387149
