"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-54.206764012695,444.660471101179,-0.121905965417737,0.903394886836358
"Coronary.artery.disease.",-341.802466802437,195.727791165122,-1.74631545560171,0.0860506294649118
"Valve.disease.",-191.53902807762,147.182699426886,-1.30136917466151,0.198277899844031
"Heart.failure.",-200.980293258732,285.098864465388,-0.704949469495805,0.483663083631989
"Sex.assigned.at.birth",46.0355234057309,135.979475368815,0.338547588015541,0.736173114680099
"Age.at.enrollment",-2.06644466303863,5.80850530229185,-0.35576186221665,0.723309626018759
"BMI",19.0665637564567,10.5458378954841,1.80797049465565,0.0757968507816927
"Smoking",83.8077863803747,142.608178824349,0.587678680642861,0.559029167311847
"Diabetes",35.1198606052623,186.348889650621,0.188462945344656,0.851171634003877
"History.of.cancer",84.8413533502816,245.407257258784,0.345716562329759,0.730806577097527
"Hypertension",-178.32864772533,171.84456453675,-1.03773225650785,0.303701795574914
"Peripheral.vascular.disease",165.254627043048,310.892478968307,0.531549131041844,0.5970683408586
"Hyperlipidemia",97.89465902902,172.568175806287,0.567281067738176,0.572712443639549
"Stroke",1391.80015200286,299.528521915207,4.64663646421244,1.98737144841042e-05
"Hypothyroidism",-85.6038063970339,305.140676544957,-0.280538823490554,0.780062402316976
"Autoimmune.disease",-194.082701716031,276.744364930343,-0.701306788179345,0.485916004130027
"History.of.thrombosis.pulmonary.embolism",-193.128892642685,341.202307079949,-0.566024580242455,0.573560636897665
