"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3796.0678296595,2303.24267991971,1.64814062484802,0.104731111051521
"Coronary.artery.disease.",542.940561234187,1013.82657455815,0.535535933718065,0.594326981460569
"Valve.disease.",-275.141120881367,762.373759525529,-0.360900565429487,0.719484991354077
"Heart.failure.",-706.774516374366,1476.74892487556,-0.47860167999372,0.634021329325787
"Sex.assigned.at.birth",1477.52646823607,704.343542134378,2.09773552229742,0.0402962429555584
"Age.at.enrollment",6.72646695752731,30.0867699925015,0.223568929439875,0.823878341475401
"BMI",-33.401463575881,54.625102780649,-0.611467290231141,0.543279615579702
"Smoking",-893.158019438436,738.67875676119,-1.20912915291429,0.231519157873647
"Diabetes",-35.3241999838663,965.245943575896,-0.0365960615726625,0.97093275016793
"History.of.cancer",-956.854770895953,1271.15519731426,-0.752744254137993,0.454648061788384
"Hypertension",-806.311179852584,890.11675441508,-0.90584878427823,0.368763713704675
"Peripheral.vascular.disease",527.348060767024,1610.35413076534,0.327473349303854,0.744488981656214
"Hyperlipidemia",21.2644233337256,893.86490040058,0.0237893034217991,0.981102330350515
"Stroke",314.824728663986,1551.49135208691,0.202917488544499,0.839909706763967
"Hypothyroidism",-208.325301826266,1580.56106911739,-0.131804652092689,0.895594972136597
"Autoimmune.disease",-601.451473692163,1433.47446908499,-0.419575992920251,0.676345321095596
"History.of.thrombosis.pulmonary.embolism",-1768.78209825222,1767.35232211543,-1.0008089932714,0.321076385674855
